No.,Temple Name,Type,Temple Address,Villages,Districts,Regency,Province,Pos code,Latitude,Longitude
1,Air Penyejuk Jiwa/Tirta PadPad,,"Tianyar Barat, Kubu, Karangasem",Tianyar Barat,Kubu,Karangasem,Bali,80652,-8.205923,115.4461296
2,Air Terjun Pesucian Manggaan,,"Nongan, Rendang, Karangasem",Nongan,Nongan,Karangasem,Bali,80863,-8.4340686,115.415409
3,Alas Malang,Sanggah?,"Tempos, Gerung, Lombok Barat",Tempos,Gerung,Lombok Barat,NTB,83363,-8.7022856,116.1385612
4,Apit Lawang Desa Adat Pegubugan,,"Unnamed Road, Duda, Selat, Karangasem",Duda,Selat,Karangasem,Bali,80862,-8.4403041,115.4924531
5,Arya Jelantik Apuan,,"Jl. Desa Apuan, Apuan, Susut, Bangli",Apuan,Susut,Bangli,Bali,80661,-8.4798289,115.3306122
6,Arya Kanuruhan - Tangkas Kori Agung Banjar Keridan,,"Keridan, Senganan, Penebel, Tabanan",Senganan,Penebel,Tabanan,Bali,82191,-8.3782721,115.1670212
7,Arya Kenceng,,"Cepik, Tajen, Penebel, Tabanan",Tajen,Penebel,Tabanan,Bali,82181,-8.4572277,115.148056
8,Arya Kepakisan - Nyuh Aya Jungutbatu,,"Nusa Lembongan, Jungutbatu, Nusapenida, Klungkung",Jungutbatu,Nusa Penida,Klungkung,Bali,80771,-8.6786577,115.4484957
9,"Arya Pedharman Kanuruhan (Brangsinga, Tangkas Kori Agung, Pagatepan)",,"Pempatan, Rendang, Karangasem",Pempatan,Rendang,Karangasem,Bali,80863,-8.3735009,115.4541391
10,"Arya Pemecutan, Sri Kresna Kepakisan",,"Jagaraga, Sawan, Buleleng",Jagaraga,Sawan,Buleleng,Bali,81171,-8.1094179,115.1613066
11,Arya Sentong Tembuku,,"Tembuku, Bangli",0,Tembuku,Bangli,Bali,80671,-8.4275483,115.3848281
12,Arya Sukahet,,"Kubu, Bangli, Bangli",Kubu,Bangli,Bangli,Bali,80613,-8.4330288,115.3607966
13,Arya Tegeh Kori Munduk Bestala,,"Unnamed Road, Munduk Bestala, Seririt, Buleleng",Munduk Bestala,Seririt,Buleleng,Bali,81152,-8.24058,114.983268
14,Arya Wang Bang Pinatih,,"Jl. Puputan No.121, Tojan, Klungkung, Klungkung",Tojan,Klungkung,Klungkung,Bali,80716,-8.5496714,115.4025196
15,Ashram Amrtham Gauri,Ashram,"Ubud, Gianyar",Ubud,Ubud,Gianyar,Bali,80571,-8.5187495,115.2558725
16,Ashram Bhama Shanti,Ashram,"Jl. Raya Senganan, Senganan, Penebel, Tabanan",Senganan,Penebel,Tabanan,Bali,82191,-8.363767,115.1592359
17,Ashram Jalananda,Ashram,"Sesaot, Narmada, Lombok Barat",Sesaot,Narmada,Lombok Barat,NTB,83371,-8.5395991,116.2330506
18,Ashram Jaya Brahmni dusun Pengendan,Ashram,"Pelangan, Central Sekotong, Lombok Barat",Pelangan,Sekotong Tengah,Lombok Barat,NTB,83365,-8.8155791,115.9525533
19,Ashram Lombok Suranadi,Ashram,"Suranadi, Narmada, Lombok Barat",Suranadi,Narmada,Lombok Barat,NTB,83371,-8.5563664,116.2489289
20,Asih Widhi Dupa Ratu Niang,Sanggah?,"Apuan, Baturiti, Tabanan",Apuan,Baturiti,Tabanan,Bali,82191,-8.3725728,115.1780975
21,Pura Kawitan Arya Wang Bang Pinatih,Pura Kawitan,"Jl. Pengembungan, Pejeng Kangin, Tampaksiring, Gianyar",Pejeng Kangin,Tampaksiring,Gianyar,Bali,80552,-8.4750655,115.3027112
22,Badung peninggar,Pribadi,"Peninggar, Dusun Dungkap1, Batukandik, Nusapenida, Klungkung",Batukandik,Nusapenida,Klungkung,Bali,80771,-8.7666526,115.5436631
23,Balai Banjar Desa Gentong,Balai Banjar,"Jl. Raya Gentong, Tegallalang, Tegallalang, Gianyar",Tegallalang,Tegallalang,Gianyar,Bali,80561,-8.4825667,115.2777548
